id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
0,13.049999999999999,0.3999999999999999,2.4,21.68,71.78999999999999,2.33,1.8699999999999999,0.09,1.3000000000000003,1.0699999999999998,1.1300000000000001,2.45,96.79000000000002,1
1,13.01,3.66,2.21,16.53,98.87,2.46,2.34,0.28,1.49,3.6900000000000004,0.75,2.79,588.86,0
2,13.13,1.1400000000000001,2.32,18.75,108.51,2.63,2.26,0.13,2.1500000000000004,5.03,0.86,2.6599999999999997,954.8,0
3,12.059999999999999,1.4100000000000001,2.04,16.58,73.52,0.8399999999999999,-0.36,0.37,0.14,7.869999,0.36999999999999994,1.0099999999999998,194.88,2
4,12.35,1.14,1.91,19.520000000000003,77.65,2.09,1.98,0.27,1.03,4.62,1.11,3.46,502.23,1
5,12.57,1.06,1.8800000000000001,10.41,83.5,2.35,2.68,0.1,2.5700000000000003,5.82,0.9800000000000001,2.49,962.49,0
6,10.68,-0.27,2.25,17.98,75.1,1.9100000000000001,1.1099999999999999,0.31,0.9199999999999999,0.9900000000000002,0.8900000000000001,1.67,149.54000000000002,1
7,11.45,1.76,2.2199999999999998,17.3,95.02,2.89,2.05,0.14,1.23,2.77,1.1099999999999999,2.81,279.36,1
8,12.7,3.55,2.36,21.5,105.98,1.7,1.2,0.17,0.84,5.0,0.78,1.29,599.59,2
9,13.08,0.7899999999999998,2.32,11.7,86.91,2.63,2.5700000000000003,0.05000000000000002,1.14,3.1399999999999997,0.65,2.8600000000000003,784.26,0
10,12.309999999999999,2.79,1.82,14.09,71.84,1.27,0.68,0.36,0.49999999999999994,2.07,0.57,1.7100000000000002,191.98,1
11,11.629999999999999,1.4699999999999998,2.0,18.759999999999998,76.16,1.0699999999999998,0.8700000000000001,0.54,0.8699999999999999,0.4500000000000002,0.64,2.61,9.800000000000011,1
12,11.68,2.5700000000000003,2.89,19.66,101.54,1.69,1.9299999999999997,0.59,0.99,3.5599999999999996,1.21,2.43,574.84,1
13,14.040000000000001,2.12,2.6,17.51,120.6,2.58,2.48,0.31,1.23,4.9799999999999995,1.05,3.56,1286.11,0
14,11.6,0.44999999999999996,1.75,13.14,72.77,2.01,1.65,0.18,1.28,0.9199999999999999,1.03,2.1300000000000003,158.45,1
15,11.89,0.88,1.77,17.95,74.07,1.7200000000000002,1.16,0.22,1.04,1.17,0.87,3.03,431.07,1
16,12.66,0.84,1.9200000000000002,14.379999999999999,82.78999999999999,1.91,1.41,0.17,0.9000000000000001,2.13,0.8400000000000001,2.21,1037.74,0
17,12.85,2.6,2.2199999999999998,19.57,83.76,1.5699999999999998,0.18000000000000005,0.38,0.9199999999999999,7.08,0.42000000000000004,1.2100000000000002,468.4,2
18,12.959999999999999,4.04,2.13,17.27,80.31,1.49,-0.019999999999999907,0.37,0.55,2.5000000000000004,0.72,1.4699999999999998,292.31,2
19,13.540000000000001,4.57,2.12,18.6,74.03,0.72,-0.07999999999999996,0.35000000000000003,0.44000000000000006,3.9300000000000006,0.48,1.03,283.41999999999996,2
20,13.67,3.2300000000000004,2.32,10.94,118.34,2.58,2.36,0.12000000000000001,1.69,3.5299999999999994,0.74,3.05,547.11,0
21,12.63,0.72,2.3600000000000003,12.96,79.57,2.2600000000000002,2.0,0.22000000000000003,0.9099999999999999,2.6199999999999997,0.7100000000000001,2.5500000000000003,898.98,0
22,14.06,0.78,2.16,8.55,78.81,2.5700000000000003,2.84,0.32,2.3200000000000003,3.4200000000000004,1.05,2.12,881.3399999999999,0
23,12.23,0.85,2.16,16.35,80.07,1.78,0.23999999999999994,0.5599999999999999,1.05,4.65,0.67,1.26,541.31,2
24,12.87,4.7700000000000005,2.2199999999999998,20.75,87.64,1.51,0.26,0.5599999999999999,1.34,7.03,0.51,1.21,606.85,2
25,12.93,3.9499999999999997,2.6999999999999997,23.07,103.73,1.62,0.38,0.2,0.78,7.16,0.54,1.51,447.61,2
26,13.440000000000001,1.2799999999999998,2.44,13.19,93.25,2.91,3.02,0.1,1.39,4.17,0.76,3.17,924.06,0
27,12.09,2.54,2.52,25.54,90.74,1.63,0.13999999999999996,0.58,0.8899999999999999,6.48,0.5700000000000001,1.42,742.0699999999999,2
